"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","2. Import update for item status (Check Out transaction)","","Sun May 11 21:14:57 UTC 2025","skipped","Sun May 11 21:14:57 UTC 2025","","Import Item Updates","",""
"","110987","3.2 --- with required Custom Form but not filled out, all optional fields on Form","Add Item","Sun May 11 21:33:58 UTC 2025","failed","Sun May 11 21:35:49 UTC 2025","","3 Add Item with Custom Form","",""
"","17804","1. Edit and verify all values on Person View page","","Sun May 11 21:29:21 UTC 2025","failed","Sun May 11 21:29:39 UTC 2025","","Edit Person","",""
"","0","2 Import Legacy Chain of Custody - Precheck Only","","Sun May 11 21:15:14 UTC 2025","skipped","Sun May 11 21:15:14 UTC 2025","","Import Legacy Chain of Custody","",""
"","0","1.6 Org Admin-- minimum case fields -- redirect to Notes tab on Case View page","Add Case","Sun May 11 21:15:17 UTC 2025","skipped","Sun May 11 21:15:17 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","0","5 Validation messages for invalid values","","Sun May 11 21:15:14 UTC 2025","skipped","Sun May 11 21:15:14 UTC 2025","","Import Legacy Chain of Custody","",""
"","13113","1.3.2 --- with required Custom Form but not filled out, all optional fields on Form","Add User","Sun May 11 21:53:37 UTC 2025","failed","Sun May 11 21:53:50 UTC 2025","","1.3 --- with Custom Forms","",""
"","1","1.3 Org Admin-- minimum case fields -- redirect to Add Item page","Add Case","Sun May 11 21:15:17 UTC 2025","skipped","Sun May 11 21:15:17 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","0","4. Import update for item status (Disposal transaction)","","Sun May 11 21:14:57 UTC 2025","skipped","Sun May 11 21:14:57 UTC 2025","","Import Item Updates","",""
"","11425","2.1. verify that user can add all values","Add Person","Sun May 11 21:45:39 UTC 2025","failed","Sun May 11 21:45:51 UTC 2025","","2. Power User -- all permissions in Office","",""
"","88831","7.1 verify all values are properly saved to the custom form -single user in custom User/User Group field","Add Case","Sun May 11 21:21:00 UTC 2025","failed","Sun May 11 21:22:29 UTC 2025","","7. --- with required Custom Form filled out, all required fields on Form","",""
"","13836","3.2 verify Office Case Number Format with custom validation message","Add Case","Sun May 11 21:17:45 UTC 2025","passed","Sun May 11 21:17:58 UTC 2025","","3. --- with Case Number formatting in Office ","",""
"","466","1. Verify list of already existing services are in place and all listed services have a green status","","Sun May 11 21:15:44 UTC 2025","failed","Sun May 11 21:15:44 UTC 2025","","System Services Page: verify the existing Services are in place, if a new Service gets added =>check the status for all of those","",""
"","63050","1. Edit and verify all values on Case View page -- replace the current values in multiselect fields (Case Officers, Tags)","","Sun May 11 21:17:28 UTC 2025","passed","Sun May 11 21:18:32 UTC 2025","","Edit Case","",""
"","636","3 Import Locations - Precheck Only","","Sun May 11 21:15:33 UTC 2025","failed","Sun May 11 21:15:33 UTC 2025","","Import Locations","",""
"","509","1.1 Email & Task - when Case created - all records - 1 user as email recipient","Workflows","Sun May 11 21:15:52 UTC 2025","failed","Sun May 11 21:15:52 UTC 2025","","1. Case Workflows - all case fields enabled in Org Settings","",""
"","708","2. Import and verify Person with minimum fields","","Sun May 11 21:16:06 UTC 2025","failed","Sun May 11 21:16:07 UTC 2025","","Import People","",""
"","7352","1.9. Only active people should show up in ""Recovered By"" field when searching by first/middle/last name or email","Add Item","Sun May 11 21:32:09 UTC 2025","failed","Sun May 11 21:32:16 UTC 2025","","1. Org Admin","",""
"","80717","3.1. --- with required Custom Form filled out, all required fields on Form","Add Person","Sun May 11 21:45:51 UTC 2025","failed","Sun May 11 21:47:12 UTC 2025","","3. Add Person with Custom Form","",""
"","2","1 Import Legacy Chain of Custody - Checked In transaction","","Sun May 11 21:15:14 UTC 2025","broken","Sun May 11 21:15:14 UTC 2025","","Import Legacy Chain of Custody","",""
"","0","I.C_4 Five thousand cases and verify cases count on search by ","","Sun May 11 21:14:48 UTC 2025","skipped","Sun May 11 21:14:48 UTC 2025","","Import Cases","",""
